id,type,trigger_ts,reaction_ts,solved_ts,scheduler_latency,machine_latency
nM2-188,newMachine,1764699615944,1764699626856,1764699630944,10912,4088
nM2-189,newMachine,1764699615944,1764699627380,1764699630944,11436,3564
nM2-190,newMachine,1764699702075,1764699717370,1764699722077,15295,4707
nM2-191,newMachine,1764699702075,1764699717373,1764699722077,15298,4704
nM2-192,newMachine,1764699702075,1764699717373,1764699722077,15298,4704
sA-013,storageAlert,1764700100002,1764700106347,1764700106348,6345,1
nM2-193,newMachine,1764700345434,1764700348138,1764700350434,2704,2296
nM2-194,newMachine,1764700345434,1764700348216,1764700350434,2782,2218
nM2-195,newMachine,1764700345434,1764700348239,1764700350434,2805,2195
nM2-196,newMachine,1764700345434,1764700348239,1764700350434,2805,2195
nM2-197,newMachine,1764700345434,1764700348239,1764700350434,2805,2195
sA-014,storageAlert,1764700370135,1764700370141,1764700370142,6,1
nM2-198,newMachine,1764700568416,1764700578425,1764700583417,10009,4992
nM2-199,newMachine,1764700568416,1764700578698,1764700583417,10282,4719
nM2-200,newMachine,1764700568416,1764700578700,1764700583417,10284,4717
nM2-201,newMachine,1764700568416,1764700578700,1764700583417,10284,4717
nM2-202,newMachine,1764700568416,1764700578704,1764700583417,10288,4713
nM2-203,newMachine,1764700568416,1764700578705,1764700583417,10289,4712
nM2-204,newMachine,1764700568416,1764700578709,1764700583417,10293,4708
